id,name,type,race,archetype,atk,def,level,cardmarket,tcgplayer,ebay,amazon,coolstuffinc
85327820,a.i.'s ritual,Spell Card,Ritual,@Ignister,0,0,0,0.07,0.07,0.99,0.25,0.25
54374642,a.i.'s show,Trap Card,Normal,A.I.,0,0,0,0.12,0.08,0.99,0.49,0.39
22933016,a.i.dle reborn,Spell Card,Quick-Play,@Ignister,0,0,0,0.2,0.24,1.0,0.25,0.25
69381150,a.i.q,Trap Card,Continuous,@Ignister,0,0,0,0.04,0.04,0.99,44.99,0.25
96146814,a/d changer,Effect Monster,Warrior,0,100,100,1,0.03,0.21,1.39,0.25,0.25
12694768,abaki,Effect Monster,Fiend,0,1700,1100,4,0.09,0.17,0.99,0.56,0.25
89718302,abare ushioni,Effect Monster,Beast-Warrior,0,1200,1200,4,0.08,0.3,1.09,0.98,0.25
1561110,abc-dragon buster,Fusion Monster,Machine,ABC,3000,2800,8,0.1,0.84,5.89,2.99,0.99
80801743,abominable chamber of the unchained,Trap Card,Normal,Unchained,0,0,0,0.12,0.16,0.99,0.98,0.25
1966438,abominable unchained soul,Effect Monster,Fiend,0,3000,1500,8,0.54,1.46,1.96,1.99,0.79
27412542,abomination's prison,Spell Card,Normal,Unchained,0,0,0,4.19,3.5,2.95,7.99,3.99
70832512,absolute crusader,Effect Monster,Warrior,0,1800,1200,4,0.13,0.21,1.45,0.39,0.25
27744077,absolute end,Trap Card,Normal,0,0,0,0,0.06,0.14,0.99,0.2,0.25
60990740,absolute king back jack,Effect Monster,Fiend,0,0,0,1,0.27,0.6,1.49,0.26,1.99
71422989,absorb fusion,Spell Card,Normal,Gem-,0,0,0,6.61,13.13,8.99,13.58,19.99
3900605,absorbing jar,Flip Effect Monster,Rock,0,600,500,3,0.17,0.23,0.99,1.14,0.39
49771608,absorbing kid from the sky,Effect Monster,Fairy,0,1300,1000,4,0.15,0.18,0.99,1.09,0.25
67748760,absorouter dragon,Effect Monster,Dragon,Rokket,1200,2800,7,2.22,2.16,4.75,2.0,1.99
15308295,abyss actor - comic relief,Pendulum Effect Monster,Fiend,Abyss Actor,1000,2000,3,0.04,0.1,1.25,0.25,0.25
44179224,abyss actor - curtain raiser,Pendulum Effect Monster,Fiend,Abyss Actor,1100,1000,4,5.23,2.93,4.99,4.19,7.99
52240819,abyss actor - evil heel,Pendulum Effect Monster,Fiend,Abyss Actor,3000,2000,8,0.58,1.21,2.46,2.28,1.49
88412339,abyss actor - extras,Pendulum Effect Monster,Fiend,Abyss Actor,100,100,1,0.06,0.08,1.75,0.99,0.25
99634927,abyss actor - funky comedian,Pendulum Effect Monster,Fiend,Abyss Actor,300,200,1,0.17,0.21,0.99,1.02,0.25
2368215,abyss actor - hyper director,Link Monster,Fiend,Abyss Actor,800,0,0,0.1,0.18,0.99,0.25,0.39
24907044,abyss actor - leading lady,Pendulum Effect Monster,Fiend,Abyss Actor,1500,1000,4,0.07,0.1,0.99,0.99,0.39
78310590,abyss actor - mellow madonna,Pendulum Effect Monster,Fiend,Abyss Actor,1800,2500,7,0.09,0.15,0.99,0.25,0.25
51028231,abyss actor - sassy rookie,Pendulum Effect Monster,Fiend,Abyss Actor,1700,1000,4,0.18,0.64,2.95,1.0,0.25
25629622,abyss actor - superstar,Pendulum Effect Monster,Fiend,Abyss Actor,2500,1800,7,0.1,0.18,2.5,0.83,0.25
39024589,abyss actor - trendy understudy,Pendulum Effect Monster,Fiend,Abyss Actor,700,700,2,0.06,0.08,0.99,0.2,0.25
7279373,abyss actor - twinkle little star,Pendulum Effect Monster,Fiend,Abyss Actor,1000,1000,4,0.13,0.07,0.99,0.25,0.25
51391183,abyss actor - wild hope,Pendulum Effect Monster,Fiend,Abyss Actor,1600,1200,4,0.05,0.12,2.27,1.49,0.39
59057953,abyss actors back stage,Trap Card,Normal,Abyss Actor,0,0,0,0.05,0.11,1.09,0.45,0.49
4682617,abyss actors' curtain call,Trap Card,Normal,Abyss Actor,0,0,0,0.05,0.12,0.99,1.0,0.25
21044178,abyss dweller,XYZ Monster,Sea Serpent,0,1700,1400,4,1.08,1.09,0.99,1.68,1.49
40387124,abyss flower,Normal Monster,Plant,0,750,400,2,0.0,0.0,15.0,0.25,0.0
82184400,abyss keeper,Link Monster,Fish,0,1500,0,0,0.14,0.11,0.99,0.55,0.49
77297908,abyss playhouse - fantastic theater,Spell Card,Field,Abyss Actor,0,0,0,0.08,0.08,0.99,0.99,0.49
86578200,abyss prop - wild wagon,Spell Card,Continuous,Abyss Actor,0,0,0,0.1,0.19,1.99,0.45,0.49
70564929,abyss script - abysstainment,Spell Card,Continuous,Abyss Actor,0,0,0,0.27,0.26,1.89,0.65,0.49
87390798,abyss script - fantasy magic,Spell Card,Normal,Abyss Actor,0,0,0,0.14,0.23,1.0,0.65,0.25
50179591,abyss script - fire dragon's lair,Spell Card,Normal,Abyss Actor,0,0,0,0.13,0.23,1.5,0.78,0.49
23784496,abyss script - opening ceremony,Spell Card,Normal,Abyss Actor,0,0,0,0.06,0.12,0.99,0.25,0.49
13662809,abyss script - rise of the abyss king,Spell Card,Normal,Abyss Actor,0,0,0,0.06,0.18,0.99,0.99,0.25
41803903,abyss script - romantic terror,Spell Card,Quick-Play,Abyss Actor,0,0,0,0.07,0.07,0.99,0.25,0.49
61496006,abyss shark,Effect Monster,Fish,0,1200,700,5,3.29,4.35,4.24,6.49,5.99
18318842,abyss soldier,Effect Monster,Aqua,0,1800,1300,4,0.95,2.54,7.99,2.35,3.99
97232518,abyss stungray,Trap Card,Continuous,0,0,0,0,0.08,0.12,1.09,0.25,0.25
88409165,abyss warrior,Effect Monster,Aqua,0,1800,1300,4,0.12,0.19,0.99,0.25,0.25
19596712,abyss-scale of cetus,Spell Card,Equip,Mermail,0,0,0,0.1,0.19,0.99,0.2,0.49
8719957,abyss-scale of the kraken,Spell Card,Equip,Mermail,0,0,0,0.15,0.23,0.99,0.2,0.25
72932673,abyss-scale of the mizuchi,Spell Card,Equip,Mermail,0,0,0,0.12,0.21,0.99,0.96,0.49
79206750,abyss-scorn,Trap Card,Normal,Mermail,0,0,0,0.11,0.17,0.99,0.25,0.25
60202749,abyss-sphere,Trap Card,Continuous,Mermail,0,0,0,3.03,2.64,4.15,17.99,0.0
34707034,abyss-squall,Trap Card,Normal,Mermail,0,0,0,0.57,0.59,5.45,1.38,0.49
97697447,abyss-strom,Trap Card,Normal,Umi,0,0,0,0.23,0.25,0.99,0.2,0.25
89801755,abyssal designator,Spell Card,Normal,0,0,0,0,0.13,0.19,0.99,0.5,0.25
44223284,abyssal kingshark,Effect Monster,Fish,0,1700,600,4,0.37,0.2,12.79,0.25,0.25
30983281,accel synchro stardust dragon,Synchro Monster,Dragon,Stardust,2500,2000,8,1.41,0.0,3.0,54.99,0.0
37675907,accel synchron,Synchro Tuner Monster,Machine,Synchron,500,2100,5,0.06,0.15,0.99,2.54,0.39
34838437,accellight,Spell Card,Normal,Photon,0,0,0,0.18,0.24,1.09,3.73,0.25
86066372,accesscode talker,Link Monster,Cyberse,Code Talker,2300,0,0,55.52,62.94,59.96,1.88,64.99
98444741,accumulated fortune,Trap Card,Normal,0,0,0,0,0.24,0.31,1.75,0.49,0.39
98865920,achacha archer,Effect Monster,Warrior,0,1200,600,3,0.02,0.09,0.99,0.2,0.25
62476197,achacha chanbara,Effect Monster,Warrior,0,1400,400,3,0.15,0.12,0.99,0.25,0.25
15808381,achichi @ignister,Effect Monster,Cyberse,@Ignister,800,800,2,0.56,0.49,0.99,5.16,0.49
77568553,acid crawler,Normal Monster,Insect,0,900,700,3,0.0,0.0,5.0,0.0,0.0
21323861,acid rain,Spell Card,Normal,0,0,0,0,0.44,0.98,3.25,1.49,0.79
41356845,acid trap hole,Trap Card,Normal,Hole,0,0,0,0.08,0.2,1.99,1.99,0.25
35956022,acidic downpour,Spell Card,Field,0,0,0,0,0.03,0.08,0.99,0.25,0.25
21051977,acorno,Effect Monster,Plant,0,200,400,1,0.11,0.12,0.99,0.2,0.25
47372349,acrobat monkey,Normal Monster,Machine,0,1000,1800,3,0.13,0.13,1.49,0.99,0.25
33656832,acrobatic magician,Pendulum Effect Monster,Spellcaster,0,800,2300,5,0.2,0.24,0.99,0.25,0.25
35498188,action magic - double banking,Spell Card,Quick-Play,0,0,0,0,0.02,0.07,0.99,0.25,0.49
99004583,action magic - full turn,Spell Card,Quick-Play,0,0,0,0,0.06,0.1,0.99,0.25,0.49
81555617,ad libitum of despia,Effect Monster,Fairy,Despia,1500,2000,8,0.53,0.86,2.39,2.21,1.49
11302671,adamancipator analyzer,Tuner Monster,Rock,Adamancipator,1500,700,4,0.18,0.19,0.99,0.99,0.49
10286023,adamancipator crystal - dragite,Effect Monster,Rock,Adamancipator,0,2200,4,0.08,0.21,0.99,0.49,0.25
47897376,adamancipator crystal - leonite,Effect Monster,Rock,Adamancipator,0,2200,4,0.07,0.13,0.99,0.49,0.25
74891384,adamancipator crystal - raptite,Effect Monster,Rock,Adamancipator,0,2200,4,0.06,0.14,0.99,4.75,0.39
99927991,adamancipator friends,Spell Card,Normal,Adamancipator,0,0,0,0.19,0.14,0.99,2.26,0.49
46552140,adamancipator laputite,Spell Card,Field,Adamancipator,0,0,0,0.06,0.19,0.99,4.82,0.25
9341993,adamancipator relief,Trap Card,Normal,Adamancipator,0,0,0,0.07,0.06,0.99,0.25,0.49
85914562,adamancipator researcher,Tuner Monster,Rock,Adamancipator,100,2100,2,1.14,0.73,1.25,3.17,0.99
45730592,adamancipator resonance,Trap Card,Counter,Adamancipator,0,0,0,0.08,0.12,0.99,0.25,0.25
9464441,adamancipator risen - dragite,Synchro Monster,Rock,Adamancipator,3000,2200,8,0.56,0.56,2.22,4.82,0.99
47674738,adamancipator risen - leonite,Synchro Monster,Rock,Adamancipator,2400,2200,6,0.23,0.16,2.22,4.82,0.49
73079836,adamancipator risen - raptite,Synchro Monster,Rock,Adamancipator,2200,2800,6,0.22,0.18,2.22,3.17,0.49
48519867,adamancipator seeker,Tuner Monster,Rock,Adamancipator,1200,1000,2,0.21,0.18,0.99,0.25,0.49
72957245,adamancipator signs,Spell Card,Normal,Adamancipator,0,0,0,0.42,0.39,0.99,1.49,0.79
62325062,adhesion trap hole,Trap Card,Normal,Hole,0,0,0,0.09,0.22,2.39,1.41,0.39
53828396,adhesive explosive,Effect Monster,Machine,0,1000,1000,3,0.02,0.19,2.96,1.06,0.25
94119480,"adreus, keeper of armageddon",XYZ Monster,Fiend,0,2600,1700,5,1.71,3.65,14.98,3.49,2.99
15464375,adularia of the moonlit water,Effect Monster,Spellcaster,0,1000,1000,5,0.0,0.0,6.5,0.83,0.0
51630558,advance draw,Spell Card,Normal,0,0,0,0,0.05,0.2,1.7,1.03,0.49
38589847,advance force,Spell Card,Continuous,0,0,0,0,0.04,0.19,0.99,0.25,0.25
76224717,advance zone,Spell Card,Continuous,0,0,0,0,0.2,0.26,4.3,1.0,0.49
18847598,advanced crystal beast amber mammoth,Effect Monster,Beast,Advanced Crystal Beast,1700,1600,4,0.1,0.0,1.0,2.02,0.0
19963185,advanced crystal beast amethyst cat,Effect Monster,Beast,Advanced Crystal Beast,1200,400,3,0.1,0.0,1.0,0.25,0.0
45236142,advanced crystal beast cobalt eagle,Effect Monster,Winged Beast,Advanced Crystal Beast,1400,800,4,0.23,0.0,1.0,0.25,0.0
46358784,advanced crystal beast emerald tortoise,Effect Monster,Aqua,Advanced Crystal Beast,600,2000,3,0.1,0.0,1.99,0.25,0.0
83575471,advanced crystal beast ruby carbuncle,Effect Monster,Fairy,Advanced Crystal Beast,300,300,3,5.99,0.0,3.0,0.25,0.0
71620241,advanced crystal beast sapphire pegasus,Effect Monster,Beast,Advanced Crystal Beast,1800,1200,4,12.45,0.0,3.3,0.25,0.0
72843899,advanced crystal beast topaz tiger,Effect Monster,Beast,Advanced Crystal Beast,1600,1000,4,0.1,0.0,1.0,0.25,0.0
12644061,advanced dark,Spell Card,Field,Crystal Beast,0,0,0,0.13,0.09,0.99,0.25,0.25
61314842,advanced heraldry art,Spell Card,Normal,Heraldic,0,0,0,0.36,0.21,0.99,0.86,0.25
46052429,advanced ritual art,Spell Card,Ritual,0,0,0,0,0.14,0.26,1.25,0.99,0.99
10678778,aegaion the sea castrum,XYZ Monster,Machine,0,0,3000,8,0.15,0.14,2.95,0.25,0.25
47060347,aegis of gaia,Trap Card,Continuous,0,0,0,0,0.22,0.23,5.45,0.25,0.49
7935043,aegis of the ocean dragon lord,Trap Card,Normal,0,0,0,0,0.13,0.24,1.9,0.43,0.39
70875955,aerial recharge,Trap Card,Continuous,Mecha Phantom Beast,0,0,0,0.05,0.15,0.99,0.25,0.25
83094004,aeropixthree,Tuner Monster,Fairy,0,200,200,1,0.02,0.06,0.99,1.85,0.49
56804361,"aether, the empowering dragon",Effect Monster,Dragon,Aether,2300,1600,6,0.2,0.23,1.49,0.25,0.25
28865322,"aether, the evil empowering dragon",Pendulum Effect Monster,Dragon,Aether,2300,1600,6,0.33,0.41,1.49,0.5,0.25
82263578,after the storm,Spell Card,Normal,0,0,0,0,0.05,0.16,15.0,0.2,0.49
25345186,after the struggle,Spell Card,Normal,0,0,0,0,0.17,0.38,0.99,0.25,0.25
43575579,afterglow,Spell Card,Normal,0,0,0,0,0.06,0.15,19.88,0.96,0.49
64952266,against the wind,Spell Card,Normal,Blackwing,0,0,0,0.1,0.28,1.99,1.35,0.25
2411269,agave dragon,Link Monster,Wyrm,0,3000,0,0,0.06,0.12,1.75,0.25,0.25
16135253,agido,Effect Monster,Fairy,0,1500,1300,4,0.59,0.26,9.0,1.2,0.25
62320425,agido the ancient sentry,Effect Monster,Fairy,Exchange of the Spirit,1500,1300,4,0.0,0.0,9.0,7.44,0.0
86377375,"ahrima, the wicked warden",Effect Monster,Fiend,0,1700,0,4,0.16,0.08,0.99,0.25,0.49
96084564,aileron,Effect Monster,Machine,Sky Striker,0,0,1,0.0,0.0,10.0,0.0,0.0
69023354,air armor ninja,Effect Monster,Warrior,Ninja,1400,1400,4,0.2,0.14,2.95,0.2,0.25
98864751,air cracking storm,Spell Card,Equip,0,0,0,0,0.09,0.07,2.99,0.45,0.25
8353769,air eater,Normal Monster,Fiend,0,2100,1600,6,0.0,0.0,4.0,119.87,0.0
18036057,airknight parshath,Effect Monster,Fairy,Parshath,1900,1400,5,0.28,0.37,0.99,21.57,0.39
84747429,airorca,Effect Monster,Sea Serpent,0,1400,300,3,0.19,0.16,0.99,0.25,0.25
48202661,aitsu,Normal Monster,Fairy,0,100,100,5,0.26,0.21,1.0,0.66,0.39
35877582,"aiwass, the magistus spell spirit",Fusion Monster,Fiend,Magistus,2000,2800,8,0.14,0.15,0.99,4.99,0.25
38035986,akakieisu,Normal Monster,Spellcaster,0,1000,800,3,0.0,0.0,5.0,2.01,0.0
28776350,akashic magician,Link Monster,Spellcaster,0,1700,0,0,0.31,0.45,1.2,0.75,0.79
36904469,akihiron,Normal Monster,Aqua,0,1700,1400,5,0.0,0.0,10.0,0.0,0.0
38837163,"akz, the pumer",Effect Monster,Beast-Warrior,0,1500,1000,6,0.12,0.2,0.99,0.2,0.25
25795273,al-lumi'raj,Tuner Monster,Wyrm,0,1600,1000,3,0.07,0.11,0.99,0.25,0.25
3410461,alba-lenatus the abyss dragon,Fusion Monster,Dragon,0,2500,2500,8,10.44,13.46,11.2,2.45,13.99
37683547,albaz the ashen,Effect Monster,Dragon,0,1800,0,4,0.21,0.27,0.99,0.49,1.99
87746184,albion the branded dragon,Fusion Monster,Dragon,Stigmata,2500,2000,8,0.25,0.25,9.95,0.49,0.79
25451383,albion the shrouded dragon,Effect Monster,Dragon,0,2500,2000,8,0.22,0.11,2.25,0.25,0.39
65301952,alchemic magician,XYZ Monster,Spellcaster,0,1500,1500,4,3.6,4.67,3.99,22.5,5.99
78121572,alchemist of black spells,Effect Monster,Spellcaster,0,1200,1800,4,1.47,2.63,6.4,9.0,0.0
65384019,alchemy cycle,Trap Card,Normal,0,0,0,0,0.07,0.17,0.99,0.25,0.25
17573739,"alector, sovereign of birds",Effect Monster,Winged Beast,0,2400,2000,6,0.51,0.53,4.99,1.48,0.39
98787535,"aleirtt, the ogdoadic dark",Effect Monster,Reptile,Abhyss,2000,800,8,0.21,0.23,0.99,2.75,0.39
86120751,aleister the invoker,Effect Monster,Spellcaster,Invoked,1000,1800,4,5.91,3.0,4.58,8.48,5.99
97973962,aleister the invoker of madness,Link Monster,Spellcaster,Invoked,1800,0,0,1.55,0.72,1.29,2.96,0.99
100419010,alert!,Spell Card,Quick-Play,Rescue-ACE,0,0,0,0.0,0.0,0.99,0.25,0.0
43096270,alexandrite dragon,Normal Monster,Dragon,0,2000,100,4,0.06,0.29,0.01,1.42,0.39
45154513,alghoul mazera,Effect Monster,Zombie,0,2800,2300,8,0.07,0.07,0.99,0.25,0.39
14504454,"alice, lady of lament",Effect Monster,Fiend,Lady of Lament,0,2000,3,0.34,0.22,1.25,0.26,0.49
47728740,"alich, malebranche of the burning abyss",Effect Monster,Fiend,Burning Abyss,1200,0,3,0.19,0.53,3.0,0.93,0.99
652362,alien ammonite,Tuner Monster,Reptile,Alien,500,200,1,0.06,0.07,0.99,2.32,0.79
17490535,alien brain,Trap Card,Normal,Alien,0,0,0,0.07,0.2,0.99,0.98,0.25
15475415,alien dog,Effect Monster,Reptile,Alien,1500,1000,3,0.31,1.0,1.95,1.99,1.99
62437709,alien grey,Flip Effect Monster,Reptile,Alien,300,800,2,0.11,0.19,1.37,0.25,0.25
62315111,alien hunter,Effect Monster,Reptile,Alien,1600,800,4,0.18,0.3,0.99,1.28,0.39
38468214,alien hypno,Gemini Monster,Reptile,Alien,1600,700,4,0.15,0.39,1.0,1.18,0.49
76573247,alien infiltrator,Effect Monster,Reptile,Alien,800,500,2,0.15,0.07,0.4,0.98,0.25
64160836,alien kid,Effect Monster,Reptile,Alien,1600,700,4,8.34,13.6,0.99,17.99,11.99
99532708,alien mars,Effect Monster,Reptile,Alien,1000,1000,3,0.17,0.25,0.99,1.27,0.39
24104865,alien mother,Effect Monster,Reptile,Alien,2300,1500,6,0.81,0.38,1.75,1.53,0.39
63253763,alien overlord,Effect Monster,Reptile,Alien,2200,1600,6,0.35,1.34,3.95,2.13,1.99
58012107,alien psychic,Effect Monster,Reptile,Alien,200,100,1,0.08,0.16,1.0,0.5,0.39
97127906,alien shocktrooper,Normal Monster,Reptile,Alien,1900,800,4,0.32,0.66,0.99,2.17,1.49
74974229,alien shocktrooper m-frame,Link Monster,Reptile,Alien,1900,0,0,0.1,0.24,1.25,2.18,0.49
25920413,alien skull,Effect Monster,Reptile,Alien,1600,1800,4,0.11,0.15,2.95,0.25,0.25
58066722,alien stealthbuster,Effect Monster,Reptile,Alien,1700,1500,4,0.05,0.07,0.99,1.28,0.25
91070115,alien telepath,Effect Monster,Reptile,Alien,1600,1000,4,1.56,3.31,7.95,7.77,2.99
98719226,alien warrior,Effect Monster,Reptile,Alien,1800,1000,4,1.47,0.71,9.99,1.13,2.99
70924884,alinsection,Normal Monster,Insect,0,950,700,3,0.06,0.25,7.0,1.29,0.25
70335319,all-eyes phantom dragon,Pendulum Effect Monster,Dragon,0,3000,2500,10,0.34,0.88,2.07,1.77,0.99
30834988,all-out attacks,Trap Card,Continuous,0,0,0,0,0.08,0.18,1.55,0.59,0.25
64428736,alligator's sword,Normal Monster,Beast,Alligator,1500,1200,4,0.09,0.18,3.95,2.85,0.25
3366982,alligator's sword dragon,Fusion Monster,Dragon,Alligator,1700,1500,5,0.12,0.15,3.95,0.2,0.25
1475311,allure of darkness,Spell Card,Normal,0,0,0,0,0.95,1.31,2.99,2.98,1.49
87257460,allure queen lv3,Effect Monster,Spellcaster,Allure Queen,500,500,3,0.13,0.24,0.99,0.99,0.39
23756165,allure queen lv5,Effect Monster,Spellcaster,Allure Queen,1000,1000,5,0.3,0.25,7.99,1.4,0.0
50140163,allure queen lv7,Effect Monster,Spellcaster,Allure Queen,1500,1500,7,3.84,3.97,6.07,1.4,0.0
92881099,alluring mirror split,Spell Card,Continuous,Harpie,0,0,0,0.15,0.24,11.8,19.99,0.39
3544583,allvain the essence of vanity,Fusion Monster,Fairy,Despia,0,2100,2,0.08,0.18,0.99,4.25,0.25
40155554,ally mind,Normal Tuner Monster,Machine,Ally of Justice,1800,1400,5,0.09,0.09,0.99,0.25,0.25
26593852,ally of justice catastor,Synchro Monster,Machine,Ally of Justice,2200,1200,5,0.08,0.18,0.99,0.25,0.49
89386122,ally of justice clausolas,Normal Monster,Machine,Ally of Justice,2300,1200,6,0.07,0.09,0.99,0.2,0.25
36629203,ally of justice core destroyer,Effect Monster,Machine,Ally of Justice,1200,200,3,0.1,0.17,2.49,0.25,0.25
8822710,ally of justice cosmic gateway,Effect Monster,Machine,Ally of Justice,2400,1200,8,0.22,0.07,0.99,1.26,0.25
8233522,ally of justice cycle reader,Tuner Monster,Machine,Ally of Justice,1000,1000,3,0.3,0.53,0.99,1.97,0.79
45586855,ally of justice cyclone creator,Tuner Monster,Machine,Ally of Justice,1400,1200,3,0.81,1.67,3.0,4.46,1.99
9888196,ally of justice decisive armor,Synchro Monster,Machine,Ally of Justice,3300,3300,10,0.17,0.18,1.98,3.94,0.79
45033006,ally of justice enemy catcher,Effect Monster,Machine,Ally of Justice,1800,1800,6,0.12,0.1,0.99,0.25,0.25
69461394,ally of justice field marshal,Synchro Monster,Machine,Ally of Justice,2900,2600,9,0.1,0.06,0.99,1.0,0.25
25771826,ally of justice garadholg,Effect Monster,Machine,Ally of Justice,1600,400,4,0.08,0.08,0.99,0.2,0.25
19204398,ally of justice light gazer,Synchro Monster,Machine,Ally of Justice,2400,1600,8,0.26,0.42,1.2,1.63,0.25
76650663,ally of justice nullfier,Effect Monster,Machine,Ally of Justice,1600,1200,4,0.07,0.08,0.99,0.2,0.25
45450218,ally of justice omni-weapon,Effect Monster,Machine,Ally of Justice,2200,800,5,0.13,0.09,0.99,0.25,0.25
72845813,ally of justice quarantine,Effect Monster,Machine,Ally of Justice,1700,1200,4,0.1,0.07,1.99,1.15,0.25
55982698,ally of justice reverse break,Effect Monster,Machine,Ally of Justice,1200,1200,4,0.14,0.08,0.99,0.25,0.25
52265835,ally of justice rudra,Effect Monster,Machine,Ally of Justice,1900,1200,5,0.07,0.1,0.99,0.2,0.25
3648368,ally of justice searcher,Effect Monster,Machine,Ally of Justice,1400,100,3,0.09,0.07,0.99,0.2,0.25
85876417,ally of justice thousand arms,Effect Monster,Machine,Ally of Justice,1700,0,4,0.09,0.26,0.99,0.25,0.25
71438011,ally of justice thunder armor,Effect Monster,Machine,Ally of Justice,2700,2200,8,0.12,0.09,0.99,0.25,0.25
22371016,ally of justice unknown crusher,Effect Monster,Machine,Ally of Justice,1200,800,3,0.09,0.23,0.99,0.25,0.25
82377606,ally of justice unlimiter,Effect Monster,Machine,Ally of Justice,600,200,2,0.07,0.07,0.99,0.2,0.25
59482302,ally salvo,Effect Monster,Machine,0,400,300,2,0.3,0.29,0.99,1.03,0.25
92998610,aloof lupine,Effect Monster,Beast,0,1700,300,4,0.21,0.38,3.95,0.79,0.39
77797992,"alpacaribou, mystical beast of the forest",Effect Monster,Beast,0,2700,2100,7,0.04,0.11,0.99,0.25,0.49
42023223,alpha the electromagnet warrior,Effect Monster,Rock,Magnet Warrior,1700,1100,3,3.55,3.31,6.95,7.54,5.99
99785935,alpha the magnet warrior,Normal Monster,Rock,Magnet Warrior,1400,1700,4,0.09,0.23,2.99,9.93,0.39
73304257,"alpha, the master of beasts",Effect Monster,Beast,0,3000,2500,8,3.34,3.58,11.99,1.45,3.99
10406322,"alsei, the sylvan high protector",XYZ Monster,Plant,Sylvan,2300,3200,8,3.54,4.86,3.99,6.95,4.99
21070956,altar for tribute,Trap Card,Normal,0,0,0,0,0.09,0.05,1.09,0.25,0.25
80143954,altergeist camouflage,Trap Card,Normal,Altergeist,0,0,0,0.12,0.25,1.29,0.49,0.25
